# Date generated: Wed Jun  8 14:00:53 2016
# Min mean shortest path [0.95]
# Max mean shortest path [1.95]
# Range of value [1]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
00.95000    0.90000     0.90000        0.10000    0.90000
01.60000    0.38000     0.38000        0.62000    0.90000
01.50000    0.46000     0.46000        0.54000    0.90000
01.40000    0.54000     0.54000        0.46000    0.90000
00.95000    0.90000     0.90000        0.10000    0.90000
01.50000    0.46000     0.46000        0.54000    0.90000
01.35000    0.58000     0.58000        0.42000    0.90000
01.40000    0.54000     0.54000        0.46000    0.90000
01.90000    0.14000     0.14000        0.86000    0.90000
01.05000    0.82000     0.82000        0.18000    0.90000
01.70000    0.30000     0.30000        0.70000    0.90000
01.25000    0.66000     0.66000        0.34000    0.90000
01.80000    0.22000     0.22000        0.78000    0.90000
01.95000    0.10000     0.10000        0.90000    0.90000
01.05000    0.82000     0.82000        0.18000    0.90000
01.85000    0.18000     0.18000        0.82000    0.90000
01.40000    0.54000     0.54000        0.46000    0.90000
01.75000    0.26000     0.26000        0.74000    0.90000
01.45000    0.50000     0.50000        0.50000    0.90000
01.15000    0.74000     0.74000        0.26000    0.90000
