# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1]
# Max mean shortest path [2.3]
# Range of value [1.3]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.20000    0.77692     0.77692        0.22308    0.90000
01.10000    0.83846     0.83846        0.16154    0.90000
01.10000    0.83846     0.83846        0.16154    0.90000
01.00000    0.90000     0.90000        0.10000    0.90000
01.45000    0.62308     0.62308        0.37692    0.90000
01.10000    0.83846     0.83846        0.16154    0.90000
01.15000    0.80769     0.80769        0.19231    0.90000
01.40000    0.65385     0.65385        0.34615    0.90000
01.60000    0.53077     0.53077        0.46923    0.90000
01.45000    0.62308     0.62308        0.37692    0.90000
01.35000    0.68462     0.68462        0.31538    0.90000
01.50000    0.59231     0.59231        0.40769    0.90000
01.45000    0.62308     0.62308        0.37692    0.90000
01.45000    0.62308     0.62308        0.37692    0.90000
01.90000    0.34615     0.34615        0.65385    0.90000
01.40000    0.65385     0.65385        0.34615    0.90000
01.55000    0.56154     0.56154        0.43846    0.90000
01.70000    0.46923     0.46923        0.53077    0.90000
01.80000    0.40769     0.40769        0.59231    0.90000
02.30000    0.10000     0.10000        0.90000    0.90000
