# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.366667]
# Max mean shortest path [3]
# Range of value [1.633333]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.60000    0.78571     0.78571        0.21429    0.90000
01.36667    0.90000     0.90000        0.10000    0.90000
01.36667    0.90000     0.90000        0.10000    0.90000
01.60000    0.78571     0.78571        0.21429    0.90000
01.86667    0.65510     0.65510        0.34490    0.90000
01.60000    0.78571     0.78571        0.21429    0.90000
01.43333    0.86735     0.86735        0.13265    0.90000
01.66667    0.75306     0.75306        0.24694    0.90000
01.73333    0.72041     0.72041        0.27959    0.90000
01.43333    0.86735     0.86735        0.13265    0.90000
01.60000    0.78571     0.78571        0.21429    0.90000
01.76667    0.70408     0.70408        0.29592    0.90000
01.40000    0.88367     0.88367        0.11633    0.90000
01.96667    0.60612     0.60612        0.39388    0.90000
02.10000    0.54082     0.54082        0.45918    0.90000
01.96667    0.60612     0.60612        0.39388    0.90000
02.70000    0.24694     0.24694        0.75306    0.90000
02.26667    0.45918     0.45918        0.54082    0.90000
02.46667    0.36122     0.36122        0.63878    0.90000
01.93333    0.62245     0.62245        0.37755    0.90000
02.30000    0.44286     0.44286        0.55714    0.90000
01.66667    0.75306     0.75306        0.24694    0.90000
02.30000    0.44286     0.44286        0.55714    0.90000
01.70000    0.73673     0.73673        0.26327    0.90000
01.83333    0.67143     0.67143        0.32857    0.90000
01.86667    0.65510     0.65510        0.34490    0.90000
02.26667    0.45918     0.45918        0.54082    0.90000
02.50000    0.34490     0.34490        0.65510    0.90000
03.00000    0.10000     0.10000        0.90000    0.90000
02.10000    0.54082     0.54082        0.45918    0.90000
