# Date generated: Wed Jun  8 14:00:54 2016
# Min mean shortest path [1.625]
# Max mean shortest path [3.45]
# Range of value [1.825]
# =============================================================

#    MSP       Bold    Sociable    Exploratory     Escape
01.75000    0.84521     0.84521        0.15479    0.90000
01.67500    0.87808     0.87808        0.12192    0.90000
01.92500    0.76849     0.76849        0.23151    0.90000
01.62500    0.90000     0.90000        0.10000    0.90000
01.67500    0.87808     0.87808        0.12192    0.90000
02.07500    0.70274     0.70274        0.29726    0.90000
01.80000    0.82329     0.82329        0.17671    0.90000
02.17500    0.65890     0.65890        0.34110    0.90000
02.30000    0.60411     0.60411        0.39589    0.90000
01.80000    0.82329     0.82329        0.17671    0.90000
01.87500    0.79041     0.79041        0.20959    0.90000
01.70000    0.86712     0.86712        0.13288    0.90000
01.95000    0.75753     0.75753        0.24247    0.90000
02.25000    0.62603     0.62603        0.37397    0.90000
02.30000    0.60411     0.60411        0.39589    0.90000
02.42500    0.54932     0.54932        0.45068    0.90000
02.52500    0.50548     0.50548        0.49452    0.90000
02.40000    0.56027     0.56027        0.43973    0.90000
01.95000    0.75753     0.75753        0.24247    0.90000
02.25000    0.62603     0.62603        0.37397    0.90000
02.42500    0.54932     0.54932        0.45068    0.90000
02.05000    0.71370     0.71370        0.28630    0.90000
03.45000    0.10000     0.10000        0.90000    0.90000
02.07500    0.70274     0.70274        0.29726    0.90000
02.92500    0.33014     0.33014        0.66986    0.90000
02.17500    0.65890     0.65890        0.34110    0.90000
02.37500    0.57123     0.57123        0.42877    0.90000
02.17500    0.65890     0.65890        0.34110    0.90000
03.12500    0.24247     0.24247        0.75753    0.90000
01.92500    0.76849     0.76849        0.23151    0.90000
02.12500    0.68082     0.68082        0.31918    0.90000
02.62500    0.46164     0.46164        0.53836    0.90000
03.35000    0.14384     0.14384        0.85616    0.90000
02.42500    0.54932     0.54932        0.45068    0.90000
02.20000    0.64795     0.64795        0.35205    0.90000
02.17500    0.65890     0.65890        0.34110    0.90000
02.72500    0.41781     0.41781        0.58219    0.90000
02.45000    0.53836     0.53836        0.46164    0.90000
02.75000    0.40685     0.40685        0.59315    0.90000
03.32500    0.15479     0.15479        0.84521    0.90000
